text,item
constructive conversation with the colleague in order to improve future cooperation,1
Write in my diary,1
go to kickboxing,1
Talk to a friend and process the trouble,1
accept the anger in order to let it go as quickly as possible,1
I ask the boss for more time,1
make a new schedule,1
complain to my colleague,1
I ask my colleagues to be on time next time,1
work faster for it,1
work more also at home,1
Complain to the boss,1
blaspheme at other colleagues about him,1
Tell him why he took so long,1
try to understand why he wasn't on time,1
will explain to superiors why I could not keep schedule,1
Focus on getting work done as quickly as possible,1
Tell your colleague that you're upset,1
inform the boss that you can't do anything about it,1
search for the information you need,1
Convince and support colleagues,1
Colleagues ask to stick to the schedule next time,1
Talk to a friend outside about it,1
I ask him to provide me with faster information next time,1
I get the information myself,1
I don't work with my colleague anymore,1
I try not to let the schedule put me under any more pressure and relax.,1
I ask my colleague what is the reason for the delay and if I can help him.,1
Provide support,1
search for the information yourself,1
ask what it failed to do,1
Customize my schedule,1
Meditate,1
Set/focus on handling the current problem,1
To express behavioural (NOT personality) criticism in a conversation,1
Integrate the situation into the truth next time,1
Distraction/outtime depending on urgency,1
I try to solve the task myself,1
I won't work with him anymore,1
I talk to him & make him understand that he should do it as quickly as possible,1
I'll tell the boss about it and tell him that the task will be delayed,1
I ask him to restructure his schedule,1
"I'll do his job, and another time I'll expect it from him.",1
Together we try to find a suitable solution,1
He invites me for a meal,1
I'm trying to relax and shut down.,1
I find out the reasons for my colleague's behavior.,1
I'll tell my colleague about my troubles.,1
I make the best of the situation and try to make it all work,1
"I see the situation as a challenge, whether I can do everything on my own in time",1
I'm distracting with,1
To make it work for the future,1
Others inform that everything will be a bit delayed,1
"Deep breath, close your eyes",1
Try to stay calm,1
Other colleagues ask to take on the task,1
Cancel other dates,1
Delegate,1
Start with other tasks first,1
Move pause to avoid idleness,1
Take Me Out of Situation,1
Contact with colleagues: Communicating anger,1
Swallow trouble & find the solution alone,1
Communicating anger & finding a solution with colleagues,1
Call the boss & complain about colleagues,1
Ignore Trouble & Continue,1
Quit Job,1
Watch Series & Sickly Write,1
Walk in nature,1
Meditation,1
I'll get the information myself,1
I'll talk to him about it.,1
Tell him to try harder,1
I ask my employer for more time,1
I help my colleague in his task,1
I evaluate the importance of his task,1
I'm trying to finish my job without his information,1
I'm trying to get the info myself,1
I'm moving appointments,1
I'm asking what went wrong.,1
I'm offering my help.,1
I'm taking a short coffee break,1
I'll ask another colleague if he can help.,1
I'll take a short walk.,1
I'm trying to keep working without the info.,1
I'll take a break and get a warm drink,1
I remind myself that I also make mistakes,1
I'm offering him help so he'll have the info for me as soon as possible.,1
I'm distracting myself with other work.,1
I tell him that his actions cause me problems,1
I'm asking him to buy me a drink as soon as we're both done.,1
I'm complaining to my boss,1
I'll tell him his behavior has an effect on me,1
I get excited with other colleagues,1
I'll help him finish the job in time,1
I get angry and don't talk to him anymore,1
I'd like to exchange a colleague.,1
I don't talk to him anymore,1
I'm asking for the reason,1
I'm telling my colleague that it's rushing,1
Give notice to the boss,1
Go to Sports,1
Do something with friends,1
Tell everything to a friend,1
Just wait and see,1
I distance myself from the colleague,1
I won't rely on him anymore,1
I work all night to keep my schedule,1
I confront him with the fact that I'm angry,1
I also ask him to help me so that I can keep my schedule.,1
I will no longer help these colleagues in the future,1
"First go for a walk/jogge/skaten, so the first trouble settles a little.",1
Talk to my colleague about the situation; ask why he was unable to keep to the timetable.,1
"If necessary, describe the situation to my superior (and in case of emergency)",1
"I'll tell you what I think, and I'll ask him to start earlier so we can both make it.",1
"I'll tell him if he doesn't make it, he'll call in the next time so we can see how we can do it together.",1
even search for important information,1
Pre-solve other due tasks,1
Contact colleagues and work out information retrieval problems,1
Person with whom you have to leave work contact and describe situation,1
Breathing exercises against anger,1
offer help to your colleague (if possible),1
Perhaps another colleague can provide the information?,1
Edit My Schedule,1
consider how to work as time-efficiently as possible after receiving the info,1
Tell me it's not my fault,1
Listening to soothing music,1
while doing something else,1
"Talk to the colleague, understand the colleague",1
I'll get the information myself.,1
Plan enough time in advance to avoid this.,1
Question boss if you can hand it over etw. later.,1
Be careful not to be dependent on such things in the future.,1
Go through the mistake with her and explain it to her,1
Tell her it's safe next time.,1
They're asking why it's come to this.,1
Ask if she has other problems.,1
Offer to do it together next time.,1
I'm talking to him about it,1
"I'm doing something instead that's going on with it, too",1
I let go of my frustration in sports,1
I'm talking to someone else about it,1
I'll tell my superior that I won't finish in time,1
Helping Colleagues,1
Report Project Manager/Chief,1
ask why not finished in time,1
longer work to make up for delay,1
Colleagues point out that it is not ready in time,1
hire a person as an additional help,1
Re-planning the division of tasks,1
I'm asking him to tell me about it.,1
Asking the Reason,1
Distract,1
Adjust schedule,1
Putting him in his position,1
ask yourself,1
Listening to relaxed music,1
talk about it,1
Distract me completely from the situation,1
Deep in and exhale,1
I'm trying to get the information myself,1
I'm trying to make myself aware that everything will be fine,1
I'm trying to imagine that he has good reasons for that.,1
I try to use time in a different way,1
"Displace anger, instead focus on as productive a job as possible (damage limitation)",1
A debate with the colleague,1
Breath/meditation exercise,1
Knetball (aggression),1
Take a break first (e.g. walk in the park),1
I forgive him,1
I don't trust him anymore and forget my trouble,1
"I ask him to be more reliable in the future, 2nd chance",1
I realize my own guilt that I didn't plan enough ahead,1
I'll tell him how much his mistake bothers me,1
"I think, ""It's just like that, there's nothing you can do.",1
I'm reorganizing my schedule,1
I'll tell my colleague it's okay for him to work better next time.,1
I'm trying to get the info myself from where,1
I'm trying to make it go out in time.,1
I'm talking to my supervisor about the situation,1
I'm trying to get the information myself,1
I am talking to the honourable Member about the possibility of obtaining the information in a timely manner.,1
I help him find information,1
"I'm putting pressure on him, because it affects me, too.",1
I ask him my help,1
"If he gets the information in time, I'll invite him for a coffee.",1
we share the task (telephone calls),1
we also ask for someone to help us,1
we ask for more time,1
I'll help her with the tasks,1
I suggest working together,1
I'm working overtime.,1
& Explain to the boss together,1
Enabling me out with friends,1
Take a short break & collect,1
Try to see it loosely,1
In the future I will try to prepare as much as possible,1
I'm trying to get the info myself,1
Help the colleague.,1
Revise the schedule.,1
Ask the boss to change the deadline.,1
Until the information comes to do other tasks.,1
Tell a friend about it.,1
Put pressure on the colleague.,1
Start early and make yourself a cozy evening.,1
Another colleague asks if he can help.,1
ask them to follow the schedule next time,1
no longer working with the colleague,1
deep breath,1
distracting,1
Colleagues ask for help to keep my schedule,1
Crying to Colleagues,1
To be mad at the colleague,1
Give in more time for deployment,1
provide even the info,1
"I, help him find the info faster",1
Ask a new partner,1
Cancel contact with the colleague,1
I don't think so bad,1
focus on positive aspects that we've already done,1
forget the anger and enjoy the free time,1
Eat sweets,1
a short walk in the fresh air,1
a phone call with the best friend,1
Planning a movie night,1
Head pressure massage,1
I'm asking him to make it better next time,1
I'm pushing him to surrender,1
I'll help him with the task,1
I finish my part as far as possible,1
"Keep calm, make the best of it",1
Take the matter into your own hands,1
Tell him your anger and the consequences,1
Remind him in time next time,1
Make you realize that every mistake is made,1
Make you realize that you can't do anything for the delay,1
Maybe it's external reasons why he couldn't keep the schedule,1
They'll make you realize you've made it.,1
I discuss this with my colleague and try to tell him my importance,1
because of her as it would be for him,1
try to talk to him at eye level,1
"If the situation is collapsing, I will have to draw conclusions",1
ask him if he may have a lot of stress outside of work or why his behavior is like this,1
I'm trying to do the job,1
I'll talk to my colleague about it.,1
I let my anger run free but then concentrate on the completion,1
To let off steam I'm talking to friends,1
I ask my colleagues to do the job quickly/to bring the information,1
I offer my colleague that together I will do everything to complete the task,1
"take care of it myself, reorder appointments",1
Smoking a cigarette,1
"tell him normally that it annoys me, > next time make better",1
I'm yelling at him,1
blame him for everything that goes wrong,1
Cancel all dates (too stressful) and drive home,1
Call a friend to let down frustration,1
Deep and even breathing,1
try to get the information elsewhere,1
Make pressure again,1
try to calm me down,1
Do other things from my schedule,1
continue without the important information,1
Call my best friend to get rid of my frustration,1
Just wait patiently for the information,1
Contact my colleagues as often as possible,1
Addressing Him,1
Explain the situation to the boss,1
Overcoming Strategies for the Future,1
Adjust schedule for new situation,1
Finding a compromise with the colleague,1
Trying to provide the information itself,1
Ask other colleagues for help,1
Talk to friends/family about trouble,1
"I'll make it clear to him that I don't want it that way, hope for improvement",1
I change my schedule (flexible),1
I'll help him with the information,1
I'll do it myself in the future,1
I support my colleague to get to the information faster.,1
I inform my employer to get more free time.,1
I'm trying to do other tasks in the meantime.,1
Smuggling to the colleague,1
Tell the boss,1
Blame with other colleagues,1
The important information tries to obtain itself,1
Putting blame on the colleague,1
Tell the colleague you won't want to work with him in the future,1
Shorten My Schedule,1
Expect an apology,1
Hope for compensation to the colleague,1
even faster and harder to work,1
Tell Your Colleague About Disappointment,1
I ask him for reasons for his behavior,1
I'll find out the information myself,1
I communicate with our superior,1
I'll call a friend.,1
I consider the situation objectively & objectively,1
I'll find out the info together with him.,1
I'm asking another colleague about the info,1
I'll tell a friend about it,1
I'm trying to optimize my schedule,1
I'll just leave my trouble for a few minutes,1
I'll check if the info can be replaced,1
I'm trying to understand why he didn't have the info in time,1
I meditate and look for a solution,1
I remember that this is not a doomsday,1
I deal with distracting topics outside of work,1
I'm asking other colleagues for help,1
I would like to point out to the honourable Member that:,1
I'll inform the boss about it.,1
I'll take care of the important information myself.,1
I'm playing down personal importance,1
I calm down and work out my part as well as possible,1
I'll let him know so it won't happen again next time.,1
I'll clear him up and try to catch up on time,1
I'm thinking about making the time pressure clear to him in advance.,1
I'm trying to understand why he didn't end up,1
I'm looking for a conversation with him so there's no trouble left.,1
I call a good friend and let off steam,1
I'm withdrawing to avoid letting out the trouble with him,1
I get away from the situation until my mood has improved,1
I calm down and call my colleague (to address him),1
I am addressing my colleagues and trying to find a solution,1
"I walk, nature always helps!",1
I ask my colleague why he could not provide the information,1
declare that the own schedule suffers,1
Report superiors or exchange colleagues,1
Colleagues help to obtain information faster,1
Talk to your colleague about it,1
Use time wisely for something else,1
Do something to let the anger out,1
"Talking to a good friend, ""complain""",1
Get information yourself,1
Adjust schedule,1
Plan as late as possible in the future,1
Help Provide Info,1
Try to continue despite incorrect information,1
Colleagues ask what it was,1
Researching Info by Yourself,1
Extinguish air from other persons,1
Swearing With Colleagues,1
Revise/adapt schedule,1
"First of all, eat something",1
Sporting,1
Push overtime,1
Talking to colleagues that communication will improve in the future,1
Support/teach colleagues to work better,1
Talk to someone else about it,1
Don't say anything and dismiss/forgotten it,1
Report to the boss,1
Going to eat something delicious,1
Find out why he couldn't,1
Trying to help him make it faster,1
restructure my schedule,1
Tell him I'm upset about this.,1
Ask for extension of time,1
Focus on getting me done faster,1
Someone looking for someone to support me,1
Addressing this issue by colleagues,1
Remind colleagues earlier in the future,1
take care of the information yourself,1
Tell colleagues my schedule,1
together with our colleague Info,1
I'm talking to him to express my anger,1
I meditate to find inner peace,1
I avenge myself by doing the same thing next time,1
I'm gonna get him to help me work it up.,1
I'm gonna take a nap.,1
I work more to make up for this,1
I tell him that I don't think that's okay & threaten to inform our boss next time,1
I'll tell my boss it's not my fault,1
I'm going to box or write down trees to let go of frustration,1
I ask you to work with someone else in the future,1
I'm looking for a new company,1
I'll help him deploy.,1
I'll inform my superiors about it.,1
I'm complaining to my colleague,1
I'm insulting him,1
I'm putting pressure on him,1
I'll ask how I can support him.,1
I'm working on his work.,1
I'm not talking about it.,1
I'll pass on the partial work.,1
I'm asking someone else for the information.,1
I'm researching the information myself.,1
Confront why the info. could not be provided in time!,1
Find Contact,1
ask again for info.,1
Inform colleagues about trouble,1
Colleagues will provide information faster in the future,1
Searching for information of your own,1
Wait for information to come & then continue working,1
Doing other useful things in time to avoid losing time,1
"Distracting, thinking about other things",1
"Eat chocolate, watch the movie",1
Letting Out Trouble,1
Addressing Him Constructively,1
Talk to the person/friends,1
Support him if possible,1
Questions about the problem,1
Airing My Trouble,1
Tell the boss the situation,1
Next time working with someone else,1
To speak with the colleague,1
Talk to someone else about it,1
Tell the colleague what the consequences are,1
ask colleagues what the cause is,1
Tell your colleagues that you don't find your behavior in order,1
Convince myself that the situation is not so bad,1
To make proposals to colleagues on how to make it better in the future,1
Tell the boss why I'm not on schedule,1
Meet friends to distract me,1
I'm changing my own schedule.,1
"I'll tell my colleague to tell me sooner next time, if he's not in time, that I can help first and that the schedule is the same.",1
I'm asking the colleague if he's taking over some of my work for it.,1
I talk to friends and family about my trouble.,1
"Next time, I'll work with someone else.",1
"I'm trying to help him, so maybe he'll make it in time.",1
I change my schedule and try to make good use of the time until then.,1
I'm distracting myself from the trouble with something pleasant.,1
I'm trying to get the information depending on him to keep my schedule.,1
I'm asking him to be ready in time next time.,1
I'll get the information myself.,1
I snatch it when it's very tight.,1
I'm asking him to let me know the next time.,1
I'm putting it on his wrongdoing.,1
I'll talk to him about it.,1
I ask what prevented him from punctuality,1
I make it clear that the behavior is not okay,1
I would have searched for information for safety in the past already if mgl,1
I'm talking to friends about the situation,1
I give him less responsibility in future projects,1
Breathe deep for a minute,1
Try to collect the information yourself,1
I smoke a cigarette,1
I politely point out to my colleagues that he should work more conscientiously next time,1
I don't work with him anymore with regular mistakes,1
I tell him my situation and ask him to hurry,1
I accept that I can't keep the schedule either,1
I'll make it clear to him that this can't happen in the future.,1
"I relax and enjoy the ""free time until I can continue working",1
I'm addressing my colleague,1
I'm getting ready to do a higher workload,1
I'll call my superior and explain the situation to him.,1
Talk to my colleague about it,1
Tell my colleague clearly and objectively my anger,1
Continue with another work for the time being,1
possibly help my colleagues to cope faster,1
"Pick up tea and take a little break to ""bending"" the anger",1
I'm asking him why he didn't submit the information in time.,1
I ask him to take care of the information as soon as possible.,1
"I'll tell him it's not bad, but I'll be happy if our agreement works better next time.",1
I'm telling him that my schedule has unfortunately now completely changed,1
"I'm telling myself that he certainly didn't do this on purpose, there might be some other reason.",1
Ask him to provide the information in time for the next time,1
Change My Schedule,1
Complaining to a friend/family member,1
If possible next time no longer work with him,1
Ask him to provide the information as soon as possible.,1
Report Chief,1
Talk to colleagues why he was too late,1
Help him to cope with his (column) task,1
more often to obtain information as much as possible,1
"Conversation with all those responsible, request help",1
Talk to him about it,1
next time behave the same way he,1
"other than ""avenge""",1
yelling at him,1
Talk to the boss/supervisor/prof,1
put yourself in his position & make the best of it,1
compensate for the loss of time due to overtime,1
Talk to others about it,1
talk to colleagues that this wasn't okay,1
Letting Out Frustrate in Sport,1
Let anger run wild and insult me inside,1
Explaining the Superior's Situation,1
Food,1
Seek Distraction,1
Tell me I'm not to blame,1
Complaining to the superior about colleagues,1
I'm asking him to let me know the next time.,1
I get upset with a friend.,1
I'm trying to understand why he told me too late,1
I'm talking to him about the reasons,1
I'm still trying to do the best I can.,1
I listen to music to react.,1
I surround myself with friends who are reliable.,1
"To help him in his task, so that I can continue to work",1
Doing another task in the meantime,1
Explain the situation to the boss and request another task for the meantime.,1
Take care of the important information for yourself.,1
Another colleague (to ask the same department as colleagues),1
Get information yourself,1
Ask for help from other colleagues,1
Talk to the colleague & explain to him what impact this has on me,1
with superior talk/to ask for help,1
Ask superiors for a little more time,1
Don't keep my schedule,1
Get important information yourself in the future,1
I'm trying to do therapy.,2
I'm trying to displace it.,2
I'm on medication.,2
I'll talk to a friend about it.,2
I reject the offer.,2
I ask the company if it can be solved differently.,2
Taking Anxiety Relieving Medicines,2
Trying to combat fear through rational thinking,2
Ignore fear (as much as possible),2
Do not accept offer/contract,2
try to find compromise on the place,2
To sail by ship,2
Doing therapy,2
Bring a friend/known person with you as an accompanying person,2
A book/music to be distracted during,2
Ask yourself what is more important to you: contract o. The unpleasant flight situation,2
Taking Medicines,2
Practice Mindfulness,2
(Meditative) Soothing strategies,2
Drugs or alcohol,2
While talking to a friend (telephone),2
Take a friend with you,2
"Short-term fear > Make sports, in order to be able to weigh off clearly",2
"talk to friends about it, that relativizes the whole",2
Ask friends to fly along,2
"Thinking about therapy > Focus on solution and not problem, need to hold on to the whole and...",2
do not fly alone,2
"Make more fresher fluege, slowly increase",2
"Listening to music, distracting differently",2
Focus on what happens after the flight,2
about talking to someone,2
Time and again go through the flight process,2
View statistics on how safe flying is,2
"Put in front of the mirror and say that you will make it, have survived already worse",2
Fear is okay,2
I could attend a seminar for fear of flying.,2
I could find out about methods that calm me down before and during the flight.,2
I could ask a friend to come with me.,2
"I could talk to other people who also suffer from fear of flying, inform me.",2
I can inform myself about the safety of air travel.,2
Take your partner with you to be quieter on the flight > Hold your partner's hand or take your girlfriend with you,2
Take benzodiazepine,2
ask yourself if you're ready for a private friend & family contact for giving up/reducing a job & let it be,2
"Distraction - music, movies, reading",2
I imagine that the lecture is worth the fear,2
I read reviews of other people with fear of flying,2
I talk to friends about fear,2
I imagine a quiet and pleasant flight,2
I'll take tranquilizers before the flight,2
I'm doing a flight-anxiety therapy,2
I pray a friend to accompany me,2
I reject the offer,2
Meditate before the flight.,2
Go to the doctor and ask for advice.,2
Take a book as a distraction (I love books),2
Don't put to the window to not look out,2
Deeply breathe and pray,2
"remember that it will be over soon, and great things await you",2
go to sleep so you don't notice,2
I am working on my fear of flying > pers.,2
I realize that the job is important enough to make sacrifices (or break my limits),2
I ask a person to whom I trust or the flight crew for assistance,2
"I am looking for an alternative, e.g. train driving",2
I'm getting medication,2
Just put up with it and face the fear,2
Buy sleeping pills and sleep through the flight,2
Ask a friend to come with you and be there for you,2
Drinking alcohol to relativize fear,2
"I face my fear, work on it",2
I ignore my fear,2
I'm canceling the job,2
I'm looking for an alternative job,2
I move permanently to the place (no flying back and forth),2
I ask the company for another job,2
"I travel alternatively, accept the loss of time in purchase",2
I distract myself during the flight,2
I'm looking for escort for the flight,2
I'm getting ready for the flight,2
I become aware of my primary goal,2
"Say: ""It's all just in your head",2
Convincing Yourself,2
Meditate,2
Respiratory exercises,2
Talk to someone about it,2
Call friends/family,2
"""It's not as bad as it looks",2
"""Simply eyes to and through",2
Downloading movies for the computer to distract you during the flight,2
I let myself be professionally hypnotized by jmd. Against fear of flying,2
I travel by train/car/boat,2
I take a very strong sleeping pill,2
"I'm just going through the flight, despite my fear",2
I don't accept the job,2
I get drunk before the flight or use other drugs to calm down,2
I ask if I can work from home,2
I prepare for the flight with frequent meditation.,2
I'm taking terrifying pills on the plane.,2
I focus on the goal I want to achieve.,2
I reject the contract.,2
Start therapy,2
reject the contract & don't fly,2
flying even though I'm afraid,2
fly and take tranquilizers,2
Talk to someone about it,2
I overcome my fear and still fly,2
I go to therapy and explore the reasons for my fear,2
I take the time and ride a train,2
I'm asking my girlfriend if she'd fly along,2
I look at numbers of traffic deaths and plane crashes and become aware of the relevance of my fear.,2
Playing video games while flying,2
Breathing technique to relax,2
make it clear that it is safe,2
Tell someone the troubles,2
have someone with you who supports you,2
do not commit to fly and make it easy at once,2
being too tired to think while flying,2
Get real cases over fear of flying.,2
Think of the feeling of arriving at the place.,2
Why do I want to go there because of the much sought-after contract?,2
The emotions of failure would last much longer than the fear of flight.,2
Flying with a familiar person,2
Coping with flight anxiety through therapy,2
Get drunk on the plane,2
Sleeping pills,2
Other transport options to fly as short as possible,2
Stop sign technology > Mental training area,2
"Take body gestures that do not reflect fear (e.g. sitting upright, with raised chest)",2
if someone is more familiar > entertaining/distracting,2
Sleep medications,2
Anxiety therapy,2
visualizing beautiful places,2
"I'm taking medication (Xanax, hooray!)",2
I'm sailing,2
I am looking for a specialist (against fear of flying or correct handling),2
I'm getting information about alternatives,2
I reject the contract,2
I'm looking for a similar job in a closer environment,2
I ask a friend if they can fly with me,2
I will fly luxury class and it as an opportunity,2
Focus on positive aspects,2
Confident person ask to fly along,2
Anxiety management system,2
Sharing with other people,2
medicines (e.g. sedatives),2
Correcting Management Strategies,2
Talk to companies/ask if there is any other possibility,2
Face me with fear - flying!,2
Finding Tips for Family members,2
try not to think emotionally,2
deal with actual risks,2
Distract (before),2
Watch the book/film during,2
Take sedative tablets,2
Conscious that there is no logical fear,2
Talking to the Aircraft Crew,2
Do not accept offer,2
talk to someone about it & understand what the fear is all about,2
Take calming agents/drugs with you,2
drink a glass of water,2
Breathe calmly,2
Pro/Contra list,2
Ask friends/family for advice,2
inform themselves about means against fear of flight,2
Complete with job prospects and apply to other (closer) jobs,2
I don't take the job,2
I overcome myself and still fly,2
I'm looking for another means of transport that I can use,2
I try to overcome my fear of flying through psychological help,2
I talk to friends about my fear,2
I am looking for a person who is close to me and who can fly with me,2
I'm looking for tips on the Internet and in books,2
I'm thinking if I really want this job and want to fly on me,2
Attend anxiety management class,2
Talk to friends,2
talk yourself out of fear,2
"""Eyes to & through",2
Sedative tablets,2
seek distractions,2
Keeping the Treaty in mind,2
"possible longer travel, but with train, ship, etc.",2
Talk to people with the same fear,2
I try to fathom my fear & rationalize it,2
I go to a professional therapy,2
i imagine the situation & imagine how the journey goes well,2
I visualize my goal (the new job),2
I speak to the familiar person,2
I fly privately a short distance to get used to the fear,2
I ask a confidant if he/she can accompany me,2
Inform me in detail about the airline,2
let me calm down by friends (& family),2
do not fly,2
Look at the airline's statistics,2
weigh whether the risk pays off,2
Buying Tablets,2
Doing therapy,2
Take friends with you on the flight,2
accept if you should crash,2
Search for tips against fear of flight,2
Talk to friends about it,2
Ask someone if he can fly along,2
distracting up to the flight,2
Find strategies to stay calm,2
assure yourself that the contract is worth flying to,2
Don't accept Job,2
ask yourself if you can also travel differently,2
Learning calming techniques to relax in the situation,2
inform yourself how unlikely plane crash is,2
Talk to friends & family about it to let emotions run wild,2
Talk to therapists about problem,2
focus on great opportunity instead of fear,2
I'll have my fear of flying treated.,2
I don't take the job,2
I ask if I can work from home,2
I take the time and travel by train/ship,2
I talk to relatives/friends and ask them for advice,2
Search for a long-distance bus train ride,2
Take someone familiar with me on the plane,2
consider it as a possibility for therapy,2
Reject the offer,2
Offering the company's Skype Talk,2
Direct relocation,2
Create Pro-Contra List,2
Get the opinion of friends/family/foreigners,2
Anxiety training,2
Interview with employer 1. other place of business,2
2. other means of travel,2
3. more coal,2
Flight training,2
I'm going to do therapy,2
I won't take the job,2
"I'm overcoming myself, and I'm still flying",2
I'm asking a friend to fly with me so I don't get so scared.,2
I ask the P if it would be possible to do the job from home as well,2
I'll talk to friends/family about it,2
I inform myself about the safety of airplanes,2
I try to look forward to the beautiful view.,2
I'm contacting a behavioral therapist,2
I take advantage of the challenge to face my fear of flying,2
I'll stay here and try to find something better.,2
I suppress this possibility,2
I look at all possible information about flying,2
I try to get rid of my fear of flying and try several strategies,2
I see the possibility as a kind of sign to face and live my fear now,2
I'm looking for reasons for my fear of flying,2
Sedatives,2
Talking to Girlfriend,2
"While flying, think of something beautiful",2
View situation rationally - Get information about flights/security,2
Take a deep breath,2
